date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-23 23:59:59,TrenadoAngel,,0,0,0,"Cómo China ha logrado levantar el hospital del coronavirus de Wuhan en 10 días (y por qué en España somos tan lentos) | ICON Design | EL PAÍS ",,,,1242239704721997837,https://twitter.com/TrenadoAngel/status/1242239704721997837
2020-03-23 23:59:59,Jomari_P,KPorray,1,0,1,"“3 Quick Coronavirus / COVID-19 Solutions for Direct Service Non-Profits.” by Jomari Peterson ",,,,1242239704637927424,https://twitter.com/Jomari_P/status/1242239704637927424
2020-03-23 23:59:59,annalisesthots,,1,0,0,"Does anyone else wonder if Harvey Weinstein paid someone to give him coronavirus..?",,,,1242239704478580736,https://twitter.com/annalisesthots/status/1242239704478580736
2020-03-23 23:59:59,the_icehouse,,0,0,2,"Coronavirus: The essential services that will keep running in New Zealand https://hubs.ly/H0nPqJc0 Keeping the amazing Icehouse network and Kiwi business community up-to-date with this excellent overview regarding COVID-19, from Newshub. #TheIcehouse #Coronavirus #KeepOnGoing",,,#TheIcehouse #Coronavirus #KeepOnGoing,1242239703606333447,https://twitter.com/the_icehouse/status/1242239703606333447
2020-03-23 23:59:59,IreZeballos,,0,0,0,"Si no me mata el coronavirus me voy a matar yo nomas, la re puta madre me harté",,,,1242239703472111617,https://twitter.com/IreZeballos/status/1242239703472111617
2020-03-23 23:59:59,dvphilippines,,0,1,1,"With economies around the world grinding to a halt due to the pandemic, we take a look at the Coronavirus’ impact on the US economy. https://hubs.ly/H0nN8Lv0 #dvphilippines #leadingyouforward",,,#dvphilippines #leadingyouforward,1242239703438540800,https://twitter.com/dvphilippines/status/1242239703438540800
2020-03-23 23:59:59,KeithCameron5,,0,15,11,"Coronavirus: 'Deluge' of benefit claimants are about to learn what it's like to deal with the DWP https://voxpoliticalonline.com/2020/03/23/coronavirus-deluge-of-benefit-claimants-are-about-to-learn-what-its-like-to-deal-with-the-dwp/ via @MidWalesMike",,@MidWalesMike,,1242239703081979904,https://twitter.com/KeithCameron5/status/1242239703081979904
2020-03-23 23:59:59,KopsMiss,KelCole25,1,0,1,"Coronavirus comes from bats. How does a human have unhealthy interaction with a bat?",,,,1242239702528339968,https://twitter.com/KopsMiss/status/1242239702528339968
2020-03-23 23:59:59,juank8112,,0,0,0,"#GrandeMiPresidenteDuque para dejar entrar siempre lo peor al país; primero los venezolanos y ahora el coronavirus y de ñapa metiéndole la mano al bolsillo de los pensionados y entes territoriales con la excusa de la calamidad. Grande mi decepción de ver en lo que quedó mi voto.",,,#GrandeMiPresidenteDuque,1242239702322774018,https://twitter.com/juank8112/status/1242239702322774018
2020-03-23 23:59:59,NWPBroadcasting,,0,2,1,"WA Gov. Jay Inslee will address the state tonight at 5:30 about the ongoing coronavirus response. Listen and watch live from NWPB: -LISTEN: http://nwpb.org/news-audio-stream -WATCH: http://bit.ly/2QG4Bc1 -More COVID-19 updates:",,,,1242239702175903744,https://twitter.com/NWPBroadcasting/status/1242239702175903744
2020-03-23 23:59:59,ladycarcajada,,0,0,0,"Whoever figures out the recipe for a free vaccine to fight the mutated and the original corona virus is going to win a noble peace price.",,,,1242239701769056256,https://twitter.com/ladycarcajada/status/1242239701769056256
2020-03-23 23:59:59,Clementciv,franceinfo,0,0,0,"Allô le gouvernement Français, l'OMS au téléphone svp , y a quelqu'un ? #CoronavirusFrance #coronavirus ",,,#CoronavirusFrance #coronavirus,1242239701521780736,https://twitter.com/Clementciv/status/1242239701521780736
2020-03-23 23:59:59,TalaniSolia,,0,1,2,"“If Tom Hanks can handle being abandoned by Andy then you can handle the coronavirus.”",,,,1242239701420929024,https://twitter.com/TalaniSolia/status/1242239701420929024
2020-03-23 23:59:59,oliverdarcy,,2,4,3,"""As of Thursday, more than half the articles being consumed on Facebook in the United States were related to the coronavirus, according to an internal report obtained by The New York Times."" ",,,,1242239701265809409,https://twitter.com/oliverdarcy/status/1242239701265809409
2020-03-23 23:59:59,joshdcaplan,,5,37,126,"TRUMP: First Lady Melania tested negative for coronavirus",,,,1242239701232254985,https://twitter.com/joshdcaplan/status/1242239701232254985
2020-03-23 23:59:59,ameseh,Mateo_in_ATX,1,0,0,"I read somewhere that the CDC is going to put out recommendations that you can still work after being exposed to coronavirus if you wear a mask... so great not being able to trust anyone in the federal government.",,,,1242239701131485185,https://twitter.com/ameseh/status/1242239701131485185
2020-03-23 23:59:59,mojgan_haji,,0,0,2,"How wildlife trade is linked to Coronavirus ",,,,1242239701035167745,https://twitter.com/mojgan_haji/status/1242239701035167745
2020-03-23 23:59:58,popof567,,0,0,2,"Cialtroni che vorrei sparissero per sempre dopo l'emergenza #coronavirus - Vespa - Giletti - Sgarbi - Giordano - Porro - Del Bebbio - Meluzzi - Belpietro - Chirico - Maglie - Meluzzi - Capezzone Salvini Renzi Aggiungete voi gli altri, ho la nausea... ",,,#coronavirus,1242239700636774401,https://twitter.com/popof567/status/1242239700636774401
2020-03-23 23:59:58,barnhartsheila1,,0,0,0,"Notice from The Great Courses: “We are making content available for free that may be of benefit to the general public, including the entire course An Introduction to Infectious Diseases and the video Coronavirus Outbreak: What You Need to Know.” http://Thegreatcourses.com.",,,,1242239699223056384,https://twitter.com/barnhartsheila1/status/1242239699223056384
2020-03-23 23:59:58,KarenBeltran_04,,1,2,0,"Mi aburrimiento y mi soledad me van a matar antes que el coronavirus",,,,1242239699072229377,https://twitter.com/KarenBeltran_04/status/1242239699072229377
2020-03-23 23:59:58,SuchanVladimir,SwisssTalk,0,0,0,"Putin had the statue of Marshal Zhukov removed and cut into pieces and then quickly left Moscow amidst the coronavirus epidemic crisis. ",,,,1242239698954784771,https://twitter.com/SuchanVladimir/status/1242239698954784771
2020-03-23 23:59:58,TwoToneTay,,0,1,1,"I’m gonna mute coronavirus &amp; corona for a little bit I’m mentally exhausted",,,,1242239698946441219,https://twitter.com/TwoToneTay/status/1242239698946441219
2020-03-23 23:59:58,fjtortajada,alen_ae,0,1,1,"¿Y quien renuncia a la subida? El PP ¿Quien quiere que se destine a la lucha contra el coronavirus? Ciudadanos ¿Y que dijo el Botanic? No hay más preguntas señoría ",,,,1242239698350850051,https://twitter.com/fjtortajada/status/1242239698350850051
