date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-24 23:59:59,yukainiletsgo,,4,2,4,"I got fired yesterday due to the damage of coronavirus. Not only me, 70 colleagues got fired from my company. People are dying. Companies are closing. CHINA MUST TAKE RESPONSIBILITY FOR THIS!!!!!!! #COVID19 #ChinaVirus",,,#COVID19 #ChinaVirus,1242602092730056704,https://twitter.com/yukainiletsgo/status/1242602092730056704
2020-03-24 23:59:59,APPFEL,,0,0,0,"Indian Prime Minister Narendra Modi announced a “total lockdown” in the country of 1.3 billion people during a televised address Tuesday night, the most extensive stay-at-home order yet in the world’s fight against the coronavirus pandemic https://www.huffpost.com/entry/indias-prime-minister-decrees-21-day-lockdown_n_5e7a2340c5b6f5b7c54b977f?ncid=engmodushpmg00000004 via @HuffPost",,@HuffPost,,1242602092558196745,https://twitter.com/APPFEL/status/1242602092558196745
2020-03-24 23:59:59,MargarethCardo9,,1,0,4,"Esse presidente é o verdadeiro corona vírus",,,,1242602092310736898,https://twitter.com/MargarethCardo9/status/1242602092310736898
2020-03-24 23:59:59,VetGirlOnTheRun,,0,1,6,"NEW #CORONAVIRUS #COVID19 #VETgirl webinar - FREE - starting in 30 minutes, 8:30pm Eastern. Sign up now! Get the info YOU need to keep yourself, your practice, your clients, and your patients safe! #Veterinary #VetMed #VetTech #Pandemic",,,#CORONAVIRUS #COVID19 #VETgirl #Veterinary #VetMed #VetTech #Pandemic,1242602091945824257,https://twitter.com/VetGirlOnTheRun/status/1242602091945824257
2020-03-24 23:59:59,maxidauzen,,1,0,0,"Ando con síntomas del coronavirus y sinceramente no me importa que me de a mí porque soy joven. Lo que me preocupa es que vivo con mis abuelos y todos los días tengo que interactuar con ellos, me da mucho miedo contagiarlos y no sé qué hacer. Estoy pensando en encerrarme en mi...",,,,1242602091908038656,https://twitter.com/maxidauzen/status/1242602091908038656
2020-03-24 23:59:59,EVIConsultores,,0,0,2,"24/03/2020 @DOF_SEGOB Edición Vespertina @SSalud_mx 1. https://dof.gob.mx/nota_detalle.php?codigo=5590339&amp;fecha=24/03/2020 2. https://dof.gob.mx/nota_detalle.php?codigo=5590340&amp;fecha=24/03/2020 #COVIDー19 #Coronavirus #Salud #COVID19mx",,@DOF_SEGOB @SSalud_mx,#COVID #Coronavirus #Salud #COVID19mx,1242602091576786944,https://twitter.com/EVIConsultores/status/1242602091576786944
2020-03-24 23:59:59,iNorman55,el_pais,1,1,0,"Otro ejemplo más. Los #datos son alarmante, pero ni así ya lo mencionan, el #problema del #Coronavirus #Covid19 ya está implícito en muchos msj que ya ni usan los HT @LeticiaERG @kikemtzglz @EIvanGS1 @Jorgechapingo @CIESTAAM_UACh https://twitter.com/el_pais/status/1242524741753282560?s=21",,@LeticiaERG @kikemtzglz @EIvanGS1 @Jorgechapingo @CIESTAAM_UACh,#datos #problema #Coronavirus #Covid19,1242602091509620736,https://twitter.com/iNorman55/status/1242602091509620736
2020-03-24 23:59:59,Dk577007894,,0,0,0,"Massachusetts Company I work for has been in business 75 years and never had a layoff. They just laid off 30 today. We were Booming before this. Thanks @CharlieBakerMA #coronavirus #CoronavirusLockdown",,@CharlieBakerMA,#coronavirus #CoronavirusLockdown,1242602091316731904,https://twitter.com/Dk577007894/status/1242602091316731904
2020-03-24 23:59:59,ej4video,,0,0,0,"You may be hearing a lot of concerning information in the news, and even in these #coronavirus prevention tip videos. But the best way to proceed is to stay calm, stay informed, and know the facts. Learn more here. #COVID19",,,#coronavirus #COVID19,1242602091228663811,https://twitter.com/ej4video/status/1242602091228663811
2020-03-24 23:59:59,AngelofJustice9,,0,0,0,"Chicago's 'Bean' sculpture closed due to Coronavirus covid-19 pandemic quarantine in Illinois . A look into an empty square. AP ",,,,1242602090792452096,https://twitter.com/AngelofJustice9/status/1242602090792452096
2020-03-24 23:59:59,Shana_Banana_44,,0,0,0,"Even though the government have said they will cover your costs of 80% so you can continue to pay your staff wages, and so that they won’t lose their jobs during this pandemic should they have to self isolate because of the coronavirus? Many thanks.",,,,1242602090557517831,https://twitter.com/Shana_Banana_44/status/1242602090557517831
2020-03-24 23:59:59,LeonardoBalbia1,biobio,0,0,0,"Es una excelente iniciativa que nos ayudará a enfrentar de mejor forma el desafío del Coronavirus. ",,,,1242602090381357057,https://twitter.com/LeonardoBalbia1/status/1242602090381357057
2020-03-24 23:59:59,LizzyLashMusic,,0,0,0,"Hey this was in sugfested..just watching the first part at the moment bcuz am working in something..rhis is mind blowing?? @DiscoverMilton Watch ""End-Time Financial HARDSHIP during the Coronavirus LOCKDOWN | The Economist TRUMP Card"" on YouTube ",,@DiscoverMilton,,1242602090188271616,https://twitter.com/LizzyLashMusic/status/1242602090188271616
2020-03-24 23:59:59,girolatino,,1,1,9,"Hoje o Equador tornou-se o segundo país a superar os mil casos confirmados de coronavírus, chegando a 1.082. Só o Brasil registrava quatro dígitos de casos até ontem. O Equador também é o segundo com mais mortes: 27. No Brasil, são 2.251 casos e 46 mortes.",,,,1242602090121363457,https://twitter.com/girolatino/status/1242602090121363457
2020-03-24 23:59:59,ryfrizzell,,0,0,0,"Help make it happen for C3 Test for Coronavirus &amp; COVID-19 on @indiegogo",,@Indiegogo,,1242602090108579840,https://twitter.com/ryfrizzell/status/1242602090108579840
2020-03-24 23:59:59,Redroadmaster,,0,0,0,"President Trump's Management of the Coronavirus Crisis Brings Him Record Approval - Live Trading News https://bit.ly/2xs2RMr via @livetradingnews",,@Livetradingnews,,1242602090091827200,https://twitter.com/Redroadmaster/status/1242602090091827200
2020-03-24 23:59:59,vitormelorj,,1,1,1,"Com esse discurso de que o coronavírus ""brevemente passará"", ele assina a morte de MUITA gente, como sempre fez. É de chorar muito",,,,1242602089940910084,https://twitter.com/vitormelorj/status/1242602089940910084
2020-03-24 23:59:59,abrilanga,,5,0,3,"jajajsjssja priscila tiene corona virus",,,,1242602089760600066,https://twitter.com/abrilanga/status/1242602089760600066
2020-03-24 23:59:59,jusavoia_,,0,0,3,"O Bolsonaro é imune a corrupção, ao coronavirus Jesus tem seus preferidos",,,,1242602089433481218,https://twitter.com/jusavoia_/status/1242602089433481218
2020-03-24 23:59:59,LAW3TV,,0,0,1,"Practicing social distancing #AnimalCrossing #ACNH #NintendoSwitch #coronavirus #staysafe",,,#AnimalCrossing #AnimalCrossing #ACNH #ACNH #NintendoSwitch #coronavirus #staysafe,1242602089349394432,https://twitter.com/LAW3TV/status/1242602089349394432
2020-03-24 23:59:59,digitalsage,thejackbenny_,1,0,2,"Dude. Stay safe, and this is truly a blow.",,,,1242602089169240067,https://twitter.com/digitalsage/status/1242602089169240067
2020-03-24 23:59:59,Refess,,0,0,0,"Beer sales skyrocket 78% and bleach sales fall as Spanish supermarkets enter week two of coronavirus lockdown - https://www.refess.com/spain-tour/beer-sales-skyrocket-78-and-bleach-sales-fall-as-spanish-supermarkets-enter-week-two-of-coronavirus-lockdown/BEER sales have skyrocketed 78% as people across Spain...",,,,1242602089101942784,https://twitter.com/Refess/status/1242602089101942784
